,$\lambda$=0.0,$\lambda$=0.3,$\lambda$=0.8,$\lambda$=1.0
0.0,0.235702260396,0.235702260396,0.235702260396,0.235702260396
0.05,0.174714565886,0.165592010801,0.151119428886,0.182257978445
0.1,0.130125580091,0.118885789755,0.117826148241,0.212192005746
0.15,0.101057169835,0.0930040549168,0.119222265526,0.264033734889
0.2,0.0871314757258,0.0857437836566,0.138413466671,0.318932811237
0.25,0.0911402255212,0.0932163544335,0.163590996628,0.376286276522
0.3,0.117956328042,0.109402392172,0.19083787661,0.438896718019
0.35,0.174593359434,0.132722157119,0.220118151183,0.510654181918
0.4,0.27678389882,0.165494303241,0.25322669184,0.597171365089
0.45,0.47488136,0.214391483568,0.293880860177,0.705503845808
0.5,0.901440052405,0.296069359125,0.348365344109,0.848377506847
0.55,1.88259936574,0.454427852369,0.42841124165,1.05159385422
0.6,4.27617565356,0.815084250531,0.555627196045,1.36503957911
